T,s,p,q
1761315929775,ETHUSDT,3904.72000000,0.25590000
1761315929805,BTCUSDT,109825.75000000,0.01567000
1761315929841,BTCUSDT,109825.74000000,0.00012000
1761315929860,ETHUSDT,3904.72000000,0.00150000
1761315929876,ETHUSDT,3904.71000000,0.00150000
1761315929876,ETHUSDT,3904.71000000,0.00150000
1761315929876,ETHUSDT,3904.71000000,0.00140000
1761315929876,ETHUSDT,3904.71000000,0.00150000
1761315929876,ETHUSDT,3904.71000000,0.00150000
1761315929876,ETHUSDT,3904.71000000,0.00140000
1761315929876,ETHUSDT,3904.71000000,0.01270000
1761315929876,ETHUSDT,3904.71000000,0.00140000
1761315929876,ETHUSDT,3904.71000000,0.00140000
1761315929876,ETHUSDT,3904.71000000,0.00140000
1761315929877,ETHUSDT,3904.70000000,0.00510000
1761315929877,ETHUSDT,3904.70000000,0.00140000
1761315929877,ETHUSDT,3904.69000000,0.00130000
1761315929877,ETHUSDT,3904.69000000,0.00130000
1761315929877,ETHUSDT,3904.69000000,0.00140000
1761315929877,ETHUSDT,3904.68000000,0.01540000
1761315929877,ETHUSDT,3904.68000000,0.07690000
1761315929877,ETHUSDT,3904.68000000,0.00140000
1761315929877,ETHUSDT,3904.68000000,0.00150000
1761315929877,ETHUSDT,3904.68000000,0.00150000
1761315929877,ETHUSDT,3904.66000000,0.00140000
1761315929877,ETHUSDT,3904.65000000,0.00140000
1761315929877,ETHUSDT,3904.64000000,0.00140000
1761315929879,ETHUSDT,3904.62000000,0.00140000
1761315929879,ETHUSDT,3904.61000000,0.00140000
1761315929879,ETHUSDT,3904.60000000,0.00140000
1761315929885,ETHUSDT,3904.50000000,0.00130000
1761315929885,ETHUSDT,3904.50000000,0.00160000
1761315929885,ETHUSDT,3904.50000000,0.00140000
1761315929885,ETHUSDT,3904.50000000,0.00140000
1761315929885,ETHUSDT,3904.50000000,0.00140000
1761315929885,ETHUSDT,3904.50000000,0.00150000
1761315929885,ETHUSDT,3904.50000000,0.00140000
1761315929885,ETHUSDT,3904.50000000,0.00140000
1761315929885,ETHUSDT,3904.50000000,0.00140000
1761315929885,ETHUSDT,3904.50000000,0.00140000
1761315929885,ETHUSDT,3904.50000000,0.00140000
1761315929885,ETHUSDT,3904.49000000,0.00140000
1761315929885,ETHUSDT,3904.49000000,0.00140000
1761315929885,ETHUSDT,3904.49000000,0.00140000
1761315929885,ETHUSDT,3904.49000000,0.00140000
1761315929885,ETHUSDT,3904.49000000,0.00140000
1761315929885,ETHUSDT,3904.49000000,0.00140000
1761315929885,ETHUSDT,3904.49000000,0.00140000
1761315929885,ETHUSDT,3904.48000000,0.01280000
1761315929885,ETHUSDT,3904.48000000,0.00150000
1761315929885,ETHUSDT,3904.48000000,0.00150000
1761315929885,ETHUSDT,3904.48000000,0.00140000
1761315929885,ETHUSDT,3904.44000000,0.07580000
1761315929885,ETHUSDT,3904.44000000,0.00150000
1761315929885,ETHUSDT,3904.44000000,0.00150000
1761315929885,ETHUSDT,3904.44000000,0.00140000
1761315929885,ETHUSDT,3904.43000000,0.05130000
1761315929885,ETHUSDT,3904.43000000,0.00200000
1761315929885,ETHUSDT,3904.43000000,0.00150000
1761315929885,ETHUSDT,3904.43000000,0.00150000
1761315929885,ETHUSDT,3904.43000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00690000
1761315929895,ETHUSDT,3904.39000000,0.00510000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00150000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.39000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.51410000
1761315929895,ETHUSDT,3904.38000000,0.06400000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00140000
1761315929895,ETHUSDT,3904.38000000,0.00150000
1761315929895,ETHUSDT,3904.34000000,0.03850000
1761315929895,ETHUSDT,3904.34000000,0.00140000
1761315929895,ETHUSDT,3904.34000000,0.00150000
1761315929895,ETHUSDT,3904.32000000,0.00200000
1761315929895,ETHUSDT,3904.32000000,0.00140000
1761315929895,ETHUSDT,3904.31000000,0.00130000
1761315929895,ETHUSDT,3904.31000000,0.00130000
1761315929895,ETHUSDT,3904.31000000,0.00140000
1761315929897,ETHUSDT,3904.29000000,0.07690000
1761315929897,ETHUSDT,3904.29000000,0.01540000
1761315929897,ETHUSDT,3904.29000000,0.00510000
1761315929897,ETHUSDT,3904.29000000,0.00140000
1761315929897,ETHUSDT,3904.29000000,0.00140000
1761315929897,ETHUSDT,3904.29000000,0.00140000
1761315929897,ETHUSDT,3904.28000000,0.00140000
1761315929897,ETHUSDT,3904.28000000,0.00140000
1761315929897,ETHUSDT,3904.28000000,0.00140000
1761315929897,ETHUSDT,3904.26000000,0.00260000
1761315929897,ETHUSDT,3904.26000000,0.00140000
1761315929897,ETHUSDT,3904.15000000,0.00140000
1761315929897,ETHUSDT,3904.13000000,0.00260000
1761315929897,ETHUSDT,3904.13000000,0.00140000
1761315929897,ETHUSDT,3904.12000000,0.00130000
1761315929897,ETHUSDT,3904.12000000,0.00160000
1761315929897,ETHUSDT,3904.12000000,0.00130000
1761315929897,ETHUSDT,3904.09000000,0.00140000
1761315929897,ETHUSDT,3904.09000000,0.00140000
1761315929897,ETHUSDT,3904.09000000,0.00140000
1761315929897,ETHUSDT,3904.05000000,0.00390000
1761315929897,ETHUSDT,3904.05000000,0.00140000
1761315929897,ETHUSDT,3904.05000000,0.00260000
1761315929897,ETHUSDT,3904.04000000,0.05130000
1761315929897,ETHUSDT,3904.04000000,0.00150000
1761315929897,ETHUSDT,3904.04000000,0.00140000
1761315929897,ETHUSDT,3904.04000000,0.00140000
1761315929897,ETHUSDT,3904.04000000,0.00140000
1761315929897,ETHUSDT,3904.03000000,0.00200000
1761315929897,ETHUSDT,3904.03000000,0.00140000
1761315929897,ETHUSDT,3904.03000000,0.00140000
1761315929897,ETHUSDT,3904.03000000,0.00140000
1761315929897,ETHUSDT,3904.01000000,0.00260000
1761315929897,ETHUSDT,3904.01000000,0.00140000
1761315929897,ETHUSDT,3904.01000000,0.00140000
1761315929897,ETHUSDT,3904.01000000,0.00140000
1761315929897,ETHUSDT,3904.00000000,0.00130000
1761315929897,ETHUSDT,3904.00000000,0.05000000
1761315929897,ETHUSDT,3903.99000000,0.02980000
1761315929897,ETHUSDT,3903.99000000,0.00140000
1761315929897,ETHUSDT,3903.98000000,0.22820000
1761315929900,ETHUSDT,3903.98000000,0.00150000
1761315929911,BTCUSDT,109825.74000000,0.04552000
1761315929936,BTCUSDT,109825.74000000,0.00934000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00449000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.74000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.73000000,0.00005000
1761315929936,BTCUSDT,109825.65000000,0.00200000
1761315929936,BTCUSDT,109825.65000000,0.00005000
